% 1. Title: SCIAA Classifying printed and Handwritten text
% 
% 2. Sources:
% (a) Creator: Akhil Katpally
% (b) Donor: SCIAA 
% (c) Date: September, 2016
% 
@RELATION SCIAA
@ATTRIBUTE Area  	NUMERIC
@ATTRIBUTE MajorAxisLength   	NUMERIC
@ATTRIBUTE MinorAxisLength  	NUMERIC
@ATTRIBUTE Eccentricity   NUMERIC
@ATTRIBUTE Orientation   NUMERIC
@ATTRIBUTE ConvexArea   NUMERIC
@ATTRIBUTE FilledArea   NUMERIC
@ATTRIBUTE EquivDiameter   NUMERIC
@ATTRIBUTE Solidity   NUMERIC
@ATTRIBUTE Extent   NUMERIC
@ATTRIBUTE Perimeter   NUMERIC
@ATTRIBUTE class        {'Text', 'Noise'}
@DATA
1228.00,72.3842,41.4428,0.8199,73.3495,2028,1228,0.4603,0.6055,39.5416,264.4760,'Text'
1448.00,69.6262,47.4228,0.7322,-88.8577,2055,1448,0.4671,0.7046,42.9378,280.3710,'Text'
1500.00,71.7921,45.1558,0.7774,77.3539,2252,1820,0.4941,0.6661,43.7019,213.9460,'Text'
1304.00,55.3694,50.1557,0.4236,-49.8583,1911,1304,0.5927,0.6824,40.7468,253.9730,'Text'
1220.00,52.5124,50.7575,0.2564,47.8194,1738,1656,0.5766,0.7020,39.4126,157.0150,'Text'
1420.00,69.6661,44.5813,0.7684,75.7598,2209,1748,0.4979,0.6428,42.5206,207.9750,'Text'
1368.00,53.6665,45.4764,0.5310,-85.7594,1801,1596,0.6196,0.7596,41.7348,175.7880,'Text'
1468.00,70.7731,44.9928,0.7719,76.0470,2199,1808,0.5561,0.6676,43.2333,204.8820,'Text'
4.00,2.3094,2.3094,0.0000,0.0000,4,4,1.0000,1.0000,2.2568,3.5560,'Noise'
1312.00,53.4878,43.7576,0.5751,81.8513,1720,1312,0.6791,0.7628,40.8716,274.7970,'Text'
1292.00,52.0189,44.7053,0.5113,-89.4875,1715,1400,0.6383,0.7534,40.5589,212.7220,'Text'
1128.00,75.5428,35.4476,0.8831,-84.6366,2084,1128,0.4135,0.5413,37.8974,236.8540,'Text'
4.00,2.3094,2.3094,0.0000,0.0000,4,4,1.0000,1.0000,2.2568,3.5560,'Noise'
